"pew_religimp","pew_churatd","sex","educ","nonwhite","age","faminc_new","pid3","ideo5","QueerPhobia","ImmiPhobia","InterGBiasParty","InterGBiasCand","InterGBiasSup","LibMediaUse","ConMediaUse","Real_Threat","Symb_Threat","Evaluation","teamweight","caseid"
1,1,"1",4,"1",62,3,"2",5,5,2,94,99,97,1,2.66666666666667,5,5,"2",0.955206883442232,1238017713
1,6,"2",2,"1",67,3,"1",2,1,1,-89,-100,-87,6,3.33333333333333,5,5,"0",0.764376193468287,1238088391
3,5,"2",3,"2",69,3,"1",2,2.66666666666667,1.5,-98,-93,-87,3.66666666666667,1.66666666666667,4,3.71428571428571,"0",2.19258905859135,1238088397
1,2,"1",6,"2",64,13,"2",3,4,2.5,-98,-99,-99,2,1,1,1,"0",0.480807142672186,1238129365
1,3,"2",4,"1",69,5,"2",3,2.66666666666667,2.5,36,10,45,2.33333333333333,2.66666666666667,3.75,3.42857142857143,"0",0.702095074193314,1238129491
4,6,"1",3,"1",62,7,"2",4,4,3,86,99,79,1.66666666666667,3.33333333333333,4.25,4.71428571428571,"2",0.955206883442232,1238135041
2,4,"1",6,"1",79,10,"3",3,2.33333333333333,3.5,63,27,16,2,4.66666666666667,4,3.71428571428571,"3",0.724355012800656,1238135741
4,6,"2",5,"1",45,10,"3",1,2,1.5,-49,-39,-49,3,2,3.25,3.71428571428571,"0",0.852380503966956,1238164947
2,5,"2",3,"2",66,12,"1",3,1.33333333333333,2.5,-82,-83,-89,3.66666666666667,3.66666666666667,5,4,"0",0.916333890938119,1238170559
2,3,"2",6,"1",36,12,"3",3,2,1.5,-67,-66,-72,4.33333333333333,1.33333333333333,3.5,3.85714285714286,"0",0.855742920956741,1238171173
1,1,"2",5,"2",39,97,"2",4,4,2,2,-1,45,1,1.66666666666667,3.25,3.85714285714286,"3",0.80458885881678,1238173743
1,1,"2",5,"1",67,7,"3",4,3.66666666666667,3,67,93,100,1.33333333333333,4.66666666666667,4,4.42857142857143,"2",1.02021116294363,1238175953
1,1,"1",2,"1",59,4,"3",5,4.33333333333333,2.5,82,100,90,1.66666666666667,4,3.75,4.57142857142857,"2",1.40623566948165,1238242511
1,2,"2",2,"1",54,11,"1",2,1.33333333333333,1,-87,-99,-100,4.33333333333333,3,4,4.57142857142857,"0",0.505027880201008,1238243417
1,4,"2",3,"2",61,1,"1",3,3.33333333333333,2.5,-42,-90,-4,1.33333333333333,1,3.5,3.85714285714286,"0",0.815395494521315,1238244707
4,6,"2",6,"1",37,10,"1",1,1.33333333333333,1,-81,-75,-66,1.66666666666667,1.33333333333333,3.25,4.57142857142857,"0",0.855742920956741,1238245561
1,2,"2",5,"1",42,5,"3",4,4.33333333333333,1,8,-2,-28,1.66666666666667,1.66666666666667,3.5,2.71428571428571,"0",0.474227504281134,1238246243
4,6,"1",3,"1",63,3,"2",5,3.66666666666667,3,86,99,97,1.33333333333333,4.66666666666667,4,4.14285714285714,"2",0.955206883442232,1238257041
4,5,"2",5,"1",73,10,"1",2,1.66666666666667,2,-81,-99,-99,4.66666666666667,1.66666666666667,5,5,"0",0.731259195749353,1238286935
1,2,"2",3,"1",45,6,"1",2,3,2,-87,-98,-99,6,2,5,5,"0",0.873552496252135,1238288227
2,2,"2",5,"1",75,7,"3",2,1.33333333333333,2.5,-75,-86,-74,2.66666666666667,1.66666666666667,3,4.28571428571429,"0",0.731259195749353,1238288625
2,4,"2",4,"1",42,1,"3",3,1.33333333333333,2,52,-22,-12,1.66666666666667,2,3.25,3.28571428571429,"1",0.423030345086907,1238292499
1,3,"2",3,"1",32,9,"2",4,4.33333333333333,3,87,98,96,1,5,5,4.85714285714286,"2",0.918230570602991,1238332899
4,6,"1",3,"1",45,97,"1",2,1,1,-88,-87,-99,3.66666666666667,2.33333333333333,4,4.71428571428571,"0",0.684665922831909,1238343779
1,1,"2",4,"1",65,3,"2",5,3.66666666666667,4,88,99,99,1.33333333333333,2,5,5,"2",1.52396906766023,1238389741
4,6,"1",3,"1",55,10,"1",1,2,1.5,-80,-80,-90,4,1.66666666666667,5,4,"0",0.684665922831909,1238394361
1,1,"2",6,"2",54,2,"1",3,4.66666666666667,2,-52,-46,-39,5.66666666666667,4.33333333333333,2.25,4.14285714285714,"2",0.969603713081164,1238453845
1,6,"2",3,"1",68,4,"2",4,3,3,93,69,73,1,1,3,3,"0",1.52396906766023,1238462783
2,6,"2",2,"1",27,3,"3",3,1.33333333333333,3,98,86,80,1,1,3,3,"0",0.51024162849432,1238511809
3,5,"1",2,"2",53,8,"1",3,3,3,-87,-89,-87,4.33333333333333,4,3.25,3,"0",5.20842225429521,1238514329
3,6,"1",5,"2",23,9,"3",1,1,1.5,-40,-39,-35,3.66666666666667,2.66666666666667,4.5,5,"0",0.684107368684524,1238577737
4,6,"2",4,"1",54,7,"1",2,3,1,-78,-66,-85,4,1,4.25,4,"0",0.873552496252135,1238616967
3,6,"1",1,"1",77,5,"3",5,4.66666666666667,3.5,77,90,61,1.33333333333333,4,4.25,5,"2",1.73385095409516,1238689439
4,6,"1",3,"2",57,4,"3",3,2,2.5,-34,-61,-37,2.66666666666667,1.33333333333333,4,3.71428571428571,"0",1.05044877276624,1238733679
1,2,"1",2,"2",68,2,"1",3,1.66666666666667,3,-35,-90,-80,1.66666666666667,1.66666666666667,4,4,"0",0.607937225768802,1238734205
2,6,"1",2,"1",57,8,"1",3,4,3,-47,-85,-55,1.66666666666667,1.33333333333333,4,3.71428571428571,"0",1.00795090472464,1238767335
3,6,"1",2,"1",54,2,"3",3,4.33333333333333,3,47,98,92,1,3.33333333333333,5,5,"2",1.40623566948165,1238769259
2,5,"2",3,"2",61,3,"1",6,2.33333333333333,2.5,-15,-30,-19,1.33333333333333,1.33333333333333,3.5,3.71428571428571,"1",0.58445750332965,1238808251
2,4,"1",6,"1",73,11,"3",3,2.66666666666667,2.5,19,18,10,1.66666666666667,2.33333333333333,4,3.28571428571429,"1",0.724355012800656,1238817295
